"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"HIV_0000000001","PUBLISHED","2000","EMR","AFG","1600 [1000–3500]","1600.00000","1000.00000","3500.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","ALB","No data","","","",""
"HIV_0000000001","PUBLISHED","2000","AFR","BDI","130 000 [110 000–150 000]","130000.00000","110000.00000","150000.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","CMR","370 000 [350 000–410 000]","370000.00000","350000.00000","410000.00000",""
"HIV_0000000001","PUBLISHED","2000","AMR","CAN","No data","","","",""
"HIV_0000000001","PUBLISHED","2000","AFR","CPV","1600 [1200–2500]","1600.00000","1200.00000","2500.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","CAF","160 000 [130 000–190 000]","160000.00000","130000.00000","190000.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","TCD","80 000 [60 000–100 000]","80000.00000","60000.00000","100000.00000",""
"HIV_0000000001","PUBLISHED","2000","AMR","CHL","14 000 [13 000–16 000]","14000.00000","13000.00000","16000.00000",""
"HIV_0000000001","PUBLISHED","2000","WPR","CHN","No data","","","",""
"HIV_0000000001","PUBLISHED","2000","AMR","COL","110 000 [91 000–130 000]","110000.00000","91000.00000","130000.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","COM","<100 [<100–<100]","","","",""
"HIV_0000000001","PUBLISHED","2000","AFR","COG","80 000 [64 000–96 000]","80000.00000","64000.00000","96000.00000",""
"HIV_0000000001","PUBLISHED","2000","AMR","CRI","4300 [3700–4700]","4300.00000","3700.00000","4700.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","CIV","590 000 [470 000–740 000]","590000.00000","470000.00000","740000.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","HRV","<500 [<500–<500]","","","",""
"HIV_0000000001","PUBLISHED","2000","AMR","CUB","4100 [2900–5000]","4100.00000","2900.00000","5000.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","CYP","No data","","","",""
"HIV_0000000001","PUBLISHED","2000","EUR","CZE","510 [<500–580]","510.00000","","580.00000",""
"HIV_0000000001","PUBLISHED","2000","SEAR","PRK","No data","","","",""
"HIV_0000000001","PUBLISHED","2000","AFR","COD","540 000 [470 000–610 000]","540000.00000","470000.00000","610000.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","DNK","4000 [3600–4600]","4000.00000","3600.00000","4600.00000",""
"HIV_0000000001","PUBLISHED","2000","EMR","DJI","9400 [7200–12 000]","9400.00000","7200.00000","12000.00000",""
"HIV_0000000001","PUBLISHED","2000","AMR","DOM","85 000 [62 000–120 000]","85000.00000","62000.00000","120000.00000",""
"HIV_0000000001","PUBLISHED","2000","AMR","ECU","26 000 [15 000–46 000]","26000.00000","15000.00000","46000.00000",""
"HIV_0000000001","PUBLISHED","2000","EMR","EGY","1500 [1400–1600]","1500.00000","1400.00000","1600.00000",""
"HIV_0000000001","PUBLISHED","2000","AMR","SLV","18 000 [14 000–23 000]","18000.00000","14000.00000","23000.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","GNQ","13 000 [9200–18 000]","13000.00000","9200.00000","18000.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","ERI","16 000 [12 000–20 000]","16000.00000","12000.00000","20000.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","EST","3400 [2900–3900]","3400.00000","2900.00000","3900.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","SWZ","110 000 [98 000–120 000]","110000.00000","98000.00000","120000.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","ETH","750 000 [570 000–980 000]","750000.00000","570000.00000","980000.00000",""
"HIV_0000000001","PUBLISHED","2000","WPR","FJI","No data","","","",""
"HIV_0000000001","PUBLISHED","2000","EUR","FIN","1100 [850–1400]","1100.00000","850.00000","1400.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","FRA","82 000 [69 000–97 000]","82000.00000","69000.00000","97000.00000",""
"HIV_0000000001","PUBLISHED","2000","WPR","KHM","81 000 [73 000–91 000]","81000.00000","73000.00000","91000.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","DZA","1900 [1700–2000]","1900.00000","1700.00000","2000.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","AGO","87 000 [72 000–110 000]","87000.00000","72000.00000","110000.00000",""
"HIV_0000000001","PUBLISHED","2000","AMR","ARG","64 000 [55 000–71 000]","64000.00000","55000.00000","71000.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","ARM","950 [580–1600]","950.00000","580.00000","1600.00000",""
"HIV_0000000001","PUBLISHED","2000","WPR","AUS","13 000 [11 000–15 000]","13000.00000","11000.00000","15000.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","AUT","No data","","","",""
"HIV_0000000001","PUBLISHED","2000","EUR","AZE","No data","","","",""
"HIV_0000000001","PUBLISHED","2000","AMR","BHS","5100 [4400–5900]","5100.00000","4400.00000","5900.00000",""
"HIV_0000000001","PUBLISHED","2000","EMR","BHR","No data","","","",""
"HIV_0000000001","PUBLISHED","2000","SEAR","BGD","940 [800–1100]","940.00000","800.00000","1100.00000",""
"HIV_0000000001","PUBLISHED","2000","AMR","BRB","1100 [1000–1300]","1100.00000","1000.00000","1300.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","BLR","1400 [1100–1900]","1400.00000","1100.00000","1900.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","BEL","No data","","","",""
"HIV_0000000001","PUBLISHED","2000","AMR","BLZ","1700 [1600–1800]","1700.00000","1600.00000","1800.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","BEN","47 000 [31 000–75 000]","47000.00000","31000.00000","75000.00000",""
"HIV_0000000001","PUBLISHED","2000","SEAR","BTN","530 [<200–970]","530.00000","","970.00000",""
"HIV_0000000001","PUBLISHED","2000","AMR","BOL","21 000 [20 000–23 000]","21000.00000","20000.00000","23000.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","BIH","<100 [<100–<100]","","","",""
"HIV_0000000001","PUBLISHED","2000","AFR","BWA","280 000 [270 000–300 000]","280000.00000","270000.00000","300000.00000",""
"HIV_0000000001","PUBLISHED","2000","AMR","BRA","410 000 [320 000–510 000]","410000.00000","320000.00000","510000.00000",""
"HIV_0000000001","PUBLISHED","2000","WPR","BRN","No data","","","",""
"HIV_0000000001","PUBLISHED","2000","EUR","BGR","<500 [<500–<500]","","","",""
"HIV_0000000001","PUBLISHED","2000","AFR","BFA","140 000 [110 000–170 000]","140000.00000","110000.00000","170000.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","GAB","28 000 [20 000–38 000]","28000.00000","20000.00000","38000.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","GMB","9900 [7200–13 000]","9900.00000","7200.00000","13000.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","GEO","980 [720–1300]","980.00000","720.00000","1300.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","DEU","45 000 [37 000–54 000]","45000.00000","37000.00000","54000.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","GHA","270 000 [240 000–300 000]","270000.00000","240000.00000","300000.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","GRC","No data","","","",""
"HIV_0000000001","PUBLISHED","2000","AMR","GTM","44 000 [41 000–47 000]","44000.00000","41000.00000","47000.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","GIN","83 000 [67 000–100 000]","83000.00000","67000.00000","100000.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","GNB","22 000 [20 000–25 000]","22000.00000","20000.00000","25000.00000",""
"HIV_0000000001","PUBLISHED","2000","AMR","GUY","2300 [1600–3100]","2300.00000","1600.00000","3100.00000",""
"HIV_0000000001","PUBLISHED","2000","AMR","HTI","150 000 [130 000–180 000]","150000.00000","130000.00000","180000.00000",""
"HIV_0000000001","PUBLISHED","2000","AMR","HND","40 000 [34 000–49 000]","40000.00000","34000.00000","49000.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","HUN","830 [700–950]","830.00000","700.00000","950.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","ISL","<100 [<100–<200]","","","",""
"HIV_0000000001","PUBLISHED","2000","SEAR","IND","No data","","","",""
"HIV_0000000001","PUBLISHED","2000","SEAR","IDN","80 000 [72 000–89 000]","80000.00000","72000.00000","89000.00000",""
"HIV_0000000001","PUBLISHED","2000","EMR","IRN","16 000 [7900–35 000]","16000.00000","7900.00000","35000.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","IRL","1900 [1700–2200]","1900.00000","1700.00000","2200.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","ISR","2700 [2400–3100]","2700.00000","2400.00000","3100.00000",""
"HIV_0000000001","PUBLISHED","2000","EUR","ITA","68 000 [57 000–78 000]","68000.00000","57000.00000","78000.00000",""
"HIV_0000000001","PUBLISHED","2000","AMR","JAM","41 000 [37 000–46 000]","41000.00000","37000.00000","46000.00000",""
"HIV_0000000001","PUBLISHED","2000","WPR","JPN","6200 [5100–7200]","6200.00000","5100.00000","7200.00000",""
"HIV_0000000001","PUBLISHED","2000","EMR","JOR","<100 [<100–<200]","","","",""
"HIV_0000000001","PUBLISHED","2000","EUR","KAZ","1100 [1100–1200]","1100.00000","1100.00000","1200.00000",""
"HIV_0000000001","PUBLISHED","2000","AFR","KEN","1 700 000 [1 400 000–2 000 000]","1700000.00000","1400000.00000","2000000.00000",""
"HIV_0000000001","PUBLISHED","2000","EMR","KWT","<200 [<200–<200]","","","",""
"HIV_0000000001","PUBLISHED","2000","EUR","KGZ","710 [580–840]","710.00000","580.00000","840.00000",""
"HIV_0000000001","PUBLISHED","2000","WPR","LAO","2200 [2000–2400]","2200.00000","2000.00000","2400.00000",""
